assignee_email,assignee_key,assigne_name,comments_count,components,created,creator_email,creator_key,creator_name,issue_type,labels,reporter_email,reporter_key,reporter_name,resolutiondate,summary,id,key
abc@cn.ibm.com,abc@cn.ibm.com,abc@cn.ibm.com,14,1408:,2018-05-11T09:46:53.000+0300,def@sg.ibm.com,def@sg.ibm.com,def@sg.ibm.com,1100,Other_CEDP:,def@sg.ibm.com,def@sg.ibm.com,def@sg.ibm.com,2018-05-18T09:30:34.000+0300,Re-create schemas on <conf> DB2 Warehouse,4545,CSC-14
ijk@in.ibm.com,ijk@in.ibm.com,ijk@in.ibm.com,8,1414:,2018-05-11T10:39:07.000+0300,lmn@it.ibm.com,lmn@it.ibm.com,lmn@it.ibm.com,1203,On-Boarding:,lmn@it.ibm.com,lmn@it.ibm.com,lmn@it.ibm.com,2018-05-14T21:08:32.000+0300,I am an API developer and I need access to bluegroup <conf>,4547,SD-183
pqr@br.ibm.com,pqr@br.ibm.com,pqr@br.ibm.com,10,1406:,2018-05-11T13:44:02.000+0300,xyz@at.ibm.com,xyz@at.ibm.com,xyz@at.ibm.com,1202,DashDB:,xyz@at.ibm.com,xyz@at.ibm.com,xyz@at.ibm.com,2018-05-11T22:56:44.000+0300,connection problem ,4556,SD-183
qaz@in.ibm.com,qaz@in.ibm.com,qaz@in.ibm.com,4,1414:,2018-05-11T13:46:45.000+0300,pku@in.ibm.com,pku@in.ibm.com,pku@in.ibm.com,1203,On-Boarding:,pku@in.ibm.com,pku@in.ibm.com,pku@in.ibm.com,2018-05-14T15:11:27.000+0300,I am an API developer and I need access to bluegroup <conf>,4557,SD-183
man@in.ibm.com,man_in_ibm_com,man@in.ibm.com,5,1414:,2018-05-11T15:01:58.000+0300,swe@ibm.com,swe@ibm.com,swe@ibm.com,1203,On-Boarding:,swe@ibm.com,swe@ibm.com,swe@ibm.com,2018-05-11T16:29:05.000+0300,Request for access to <conf> in Artifactory ,4583,SD-183
ytr@in.ibm.com,ytr@in.ibm.com,ytr@in.ibm.com,7,1412:,2020-02-18T17:58:44.000+0300,ddd@us.ibm.com,ddd@us.ibm.com,ddd@us.ibm.com,1203,JiraAccess:,ddd@us.ibm.com,ddd@us.ibm.com,ddd@us.ibm.com,2020-02-18T20:38:15.000+0300,Add a new user,26195,SD-1386
drt@in.ibm.com,drt@in.ibm.com,drt@in.ibm.com,5,1402:,2020-02-18T18:09:24.000+0300,asd@ibm.com,asd@ibm.com,asd@ibm.com,1202,Data_Asset_Manager:,asd@ibm.com,asd@ibm.com,asd@ibm.com,2020-02-18T21:40:42.000+0300,Data Asset Management tool is down on production,26199,SD-1387
vfr@in.ibm.com,vfr@in.ibm.com,vfr@in.ibm.com,3,1412:,2020-02-18T19:48:36.000+0300,mnb@in.ibm.com,mnb@in.ibm.com,mnb@in.ibm.com,1001,Watson_Studio:,sdf@us.ibm.com,sdf@us.ibm.com,sdf@us.ibm.com,2020-02-21T03:08:44.000+0300,CLONE - Requesting Watson Studio to support <conf> Program,26217,CECO-36
kly@in.ibm.com,kly@in.ibm.com,kly@in.ibm.com,4,1414:,2020-02-18T21:16:33.000+0300,jkr@ibm.com,jkr@ibm.com,jkr@ibm.com,1203,Access:,jkr@ibm.com,jkr@ibm.com,jkr@ibm.com,2020-02-18T22:10:09.000+0300,Artifactory Access,26260,SD-1387
pal@in.ibm.com,pal@in.ibm.com,pal@in.ibm.com,6,1408:,2020-02-19T04:33:28.000+0300,pal@in.ibm.com,pal@in.ibm.com,pal@in.ibm.com,1203,Access:,cdw@us.ibm.com,cdw@us.ibm.com,cdw@us.ibm.com,2020-02-20T16:23:50.000+0300,SAC Tool_200218_ cdw@us.ibm.com_requested access to group <conf> BG.,26315,SD-1387
